#name=ascomycota_odb10
#domain=eukaryota
#creation_date=2020-09-10
#number_of_BUSCOs=1706
#number_of_species=365
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
262829at4890	Proteasome subunit alpha type	https://www.orthodb.org/v10?query=262829at4890
331536at4890	Mediator of RNA polymerase II transcription subunit 6	https://www.orthodb.org/v10?query=331536at4890
159348at4890	Zinc finger, RING-type	https://www.orthodb.org/v10?query=159348at4890
105314at4890	tRNA-dihydrouridine(47) synthase 	https://www.orthodb.org/v10?query=105314at4890
138516at4890	mRNA-capping enzyme subunit alpha	https://www.orthodb.org/v10?query=138516at4890
348702at4890	40S ribosomal protein S24	https://www.orthodb.org/v10?query=348702at4890
171018at4890	putative 26S proteasome regulatory subunit rpn6	https://www.orthodb.org/v10?query=171018at4890
21776at4890	Isoleucyl-tRNA synthetase	https://www.orthodb.org/v10?query=21776at4890
238276at4890	Very-long-chain 3-oxoacyl-CoA reductase	https://www.orthodb.org/v10?query=238276at4890
303479at4890	Ribosomal protein	https://www.orthodb.org/v10?query=303479at4890
68050at4890	ATPase, AAA-type, conserved site	https://www.orthodb.org/v10?query=68050at4890
32568at4890	ARID DNA-binding domain	https://www.orthodb.org/v10?query=32568at4890
208006at4890	NUDIX hydrolase domain	https://www.orthodb.org/v10?query=208006at4890
64079at4890	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=64079at4890
290327at4890	FK506-binding protein	https://www.orthodb.org/v10?query=290327at4890
301597at4890	Sorting nexin-3	https://www.orthodb.org/v10?query=301597at4890
272698at4890	Small GTPase superfamily	https://www.orthodb.org/v10?query=272698at4890
346088at4890	Transcription initiation factor TFIID subunit 10	https://www.orthodb.org/v10?query=346088at4890
90764at4890	Zinc finger, RING-CH-type	https://www.orthodb.org/v10?query=90764at4890
262969at4890	mitochondrial carrier	https://www.orthodb.org/v10?query=262969at4890
262326at4890	Yif1 family	https://www.orthodb.org/v10?query=262326at4890
160700at4890	MYND-type zinc finger protein samB	https://www.orthodb.org/v10?query=160700at4890
344753at4890	Zinc finger, RING/FYVE/PHD-type	https://www.orthodb.org/v10?query=344753at4890
194355at4890	Double-strand-break repair protein rad21	https://www.orthodb.org/v10?query=194355at4890
147134at4890	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=147134at4890
317748at4890	Protein of unknown function DUF1682	https://www.orthodb.org/v10?query=317748at4890
144512at4890	6-phosphogluconate dehydrogenase, decarboxylating	https://www.orthodb.org/v10?query=144512at4890
312384at4890	Synaptobrevin	https://www.orthodb.org/v10?query=312384at4890
235288at4890	Sda1	https://www.orthodb.org/v10?query=235288at4890
211321at4890	Alpha-1,3-glucosyltransferase	https://www.orthodb.org/v10?query=211321at4890
255755at4890	DNA-directed RNA polymerase III complex subunit Rpc37	https://www.orthodb.org/v10?query=255755at4890
220278at4890	Fructose-bisphosphate aldolase	https://www.orthodb.org/v10?query=220278at4890
212080at4890	plus-3-domain-containing protein	https://www.orthodb.org/v10?query=212080at4890
211757at4890	Nuclear protein SNF4	https://www.orthodb.org/v10?query=211757at4890
237221at4890	Pre-mRNA-splicing factor cef1	https://www.orthodb.org/v10?query=237221at4890
280473at4890	MEMO1 family	https://www.orthodb.org/v10?query=280473at4890
20492at4890	Protein dopey	https://www.orthodb.org/v10?query=20492at4890
152409at4890	Vps16, C-terminal	https://www.orthodb.org/v10?query=152409at4890
206458at4890	Endoplasmic reticulum-Golgi intermediate compartment protein 3	https://www.orthodb.org/v10?query=206458at4890
257769at4890	Aminomethyltransferase	https://www.orthodb.org/v10?query=257769at4890
133204at4890	PAN2-PAN3 deadenylation complex subunit PAN3	https://www.orthodb.org/v10?query=133204at4890
22281at4890	Winged helix-like DNA-binding domain superfamily	https://www.orthodb.org/v10?query=22281at4890
324506at4890	inorganic phosphate transport PHO88	https://www.orthodb.org/v10?query=324506at4890
257722at4890	PPM-type phosphatase domain	https://www.orthodb.org/v10?query=257722at4890
308024at4890	Oxidoreductase-like protein	https://www.orthodb.org/v10?query=308024at4890
316493at4890	Ribosomal protein S13/S15, N-terminal	https://www.orthodb.org/v10?query=316493at4890
232012at4890	WD40 repeat	https://www.orthodb.org/v10?query=232012at4890
328729at4890	Ribosomal protein L6, alpha-beta domain	https://www.orthodb.org/v10?query=328729at4890
63664at4890	P-type ATPase	https://www.orthodb.org/v10?query=63664at4890
10917at4890	Histone transcription regulator 3	https://www.orthodb.org/v10?query=10917at4890
14869at4890	Protein cft1	https://www.orthodb.org/v10?query=14869at4890
221271at4890	ATP-dependent DNA helicase II subunit 2	https://www.orthodb.org/v10?query=221271at4890
177617at4890	3-keto-steroid reductase	https://www.orthodb.org/v10?query=177617at4890
316857at4890	Ubiquitin-conjugating enzyme E2-16 kDa	https://www.orthodb.org/v10?query=316857at4890
69897at4890	Threonine synthase	https://www.orthodb.org/v10?query=69897at4890
34502at4890	Cobalamin-independent methionine synthase	https://www.orthodb.org/v10?query=34502at4890
38057at4890	Protein kinase domain	https://www.orthodb.org/v10?query=38057at4890
330342at4890	Protein YOP1	https://www.orthodb.org/v10?query=330342at4890
212510at4890	Copper chaperone SCO1/SenC	https://www.orthodb.org/v10?query=212510at4890
504at4890	Vacuolar protein sorting-associated protein	https://www.orthodb.org/v10?query=504at4890
241549at4890	Membrane  insertase YidC/ALB3/OXA1/COX18	https://www.orthodb.org/v10?query=241549at4890
217703at4890	Ribosomal protein S5	https://www.orthodb.org/v10?query=217703at4890
267902at4890	Di-trans,poly-cis-decaprenylcistransferase	https://www.orthodb.org/v10?query=267902at4890
99965at4890	Fumarate hydratase	https://www.orthodb.org/v10?query=99965at4890
85232at4890	Phosphoribosylaminoimidazole carboxylase	https://www.orthodb.org/v10?query=85232at4890
31952at4890	Autophagy-related protein 9	https://www.orthodb.org/v10?query=31952at4890
111745at4890	Endopolyphosphatase	https://www.orthodb.org/v10?query=111745at4890
89519at4890	Ankyrin repeat-containing domain	https://www.orthodb.org/v10?query=89519at4890
119846at4890	Zinc finger, RING-type	https://www.orthodb.org/v10?query=119846at4890
340547at4890	Transcription elongation factor SPT4	https://www.orthodb.org/v10?query=340547at4890
59607at4890	DUF1339 domain protein	https://www.orthodb.org/v10?query=59607at4890
182988at4890	Threonylcarbamoyl-AMP synthase	https://www.orthodb.org/v10?query=182988at4890
278843at4890	Small COPII coat GTPase sar1	https://www.orthodb.org/v10?query=278843at4890
350470at4890	Mitochondrial import inner membrane translocase subunit TIM13	https://www.orthodb.org/v10?query=350470at4890
267609at4890	Actin cytoskeleton-regulatory complex protein END3	https://www.orthodb.org/v10?query=267609at4890
94517at4890	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=94517at4890
279338at4890	F-actin capping protein beta subunit	https://www.orthodb.org/v10?query=279338at4890
114318at4890	25S rRNA (cytosine-C(5))-methyltransferase rcm1	https://www.orthodb.org/v10?query=114318at4890
144019at4890	Exocyst complex component SEC15	https://www.orthodb.org/v10?query=144019at4890
60739at4890	high-temperature-induced dauer-formation protein	https://www.orthodb.org/v10?query=60739at4890
28672at4890	Armadillo-type fold	https://www.orthodb.org/v10?query=28672at4890
284643at4890	EF-hand domain	https://www.orthodb.org/v10?query=284643at4890
134677at4890	3',5'-cyclic-nucleotide phosphodiesterase	https://www.orthodb.org/v10?query=134677at4890
116896at4890	ubiquitin carboxyl-terminal hydrolase	https://www.orthodb.org/v10?query=116896at4890
207048at4890	Phosphatidylinositol-glycan biosynthesis class S protein	https://www.orthodb.org/v10?query=207048at4890
364500at4890	CAAX amino terminal protease	https://www.orthodb.org/v10?query=364500at4890
44808at4890	Pre-mRNA-splicing factor rse1	https://www.orthodb.org/v10?query=44808at4890
160773at4890	Cytochrome b5-like heme/steroid binding domain	https://www.orthodb.org/v10?query=160773at4890
232770at4890	Vesicular-fusion protein sec17	https://www.orthodb.org/v10?query=232770at4890
324765at4890	Riboflavin kinase	https://www.orthodb.org/v10?query=324765at4890
227886at4890	Cell division control protein 73, C-terminal	https://www.orthodb.org/v10?query=227886at4890
271948at4890	Synaptobrevin	https://www.orthodb.org/v10?query=271948at4890
309975at4890	SUMO-conjugating enzyme ubc9	https://www.orthodb.org/v10?query=309975at4890
188777at4890	NADPH	https://www.orthodb.org/v10?query=188777at4890
134648at4890	ATP-dependent RNA helicase DBP9	https://www.orthodb.org/v10?query=134648at4890
269204at4890	Rho GTPase activation protein	https://www.orthodb.org/v10?query=269204at4890
356170at4890	Succinate dehydrogenase assembly factor 2, mitochondrial	https://www.orthodb.org/v10?query=356170at4890
53283at4890	E3 ubiquitin-protein ligase	https://www.orthodb.org/v10?query=53283at4890
49514at4890	AP-2 complex subunit alpha	https://www.orthodb.org/v10?query=49514at4890
269906at4890	Protein arginine methyltransferase NDUFAF7	https://www.orthodb.org/v10?query=269906at4890
155929at4890	galactose oxidase	https://www.orthodb.org/v10?query=155929at4890
199764at4890	Zinc finger, CCCH-type	https://www.orthodb.org/v10?query=199764at4890
285587at4890	Pyridoxal phosphate homeostasis protein	https://www.orthodb.org/v10?query=285587at4890
116771at4890	Coronin	https://www.orthodb.org/v10?query=116771at4890
204145at4890	Morphogenesis protein	https://www.orthodb.org/v10?query=204145at4890
253847at4890	GTP cyclohydrolase 1 type 2/Nif3	https://www.orthodb.org/v10?query=253847at4890
215011at4890	mRNA cap guanine-N7 methyltransferase	https://www.orthodb.org/v10?query=215011at4890
311374at4890	Proteasome component C5	https://www.orthodb.org/v10?query=311374at4890
297336at4890	Phosphoadenosine phosphosulfate reductase	https://www.orthodb.org/v10?query=297336at4890
184203at4890	biotin-	https://www.orthodb.org/v10?query=184203at4890
281842at4890	GPI transamidase component GPI16	https://www.orthodb.org/v10?query=281842at4890
92851at4890	Bifunctional purine biosynthesis protein ADE17	https://www.orthodb.org/v10?query=92851at4890
213356at4890	tRNA-splicing endonuclease subunit Sen2	https://www.orthodb.org/v10?query=213356at4890
343388at4890	Zinc finger C2H2-type	https://www.orthodb.org/v10?query=343388at4890
238200at4890	adenine nucleotide alpha hydrolases-like protein	https://www.orthodb.org/v10?query=238200at4890
35625at4890	ATPase, AAA-type, conserved site	https://www.orthodb.org/v10?query=35625at4890
160648at4890	Adenylyl cyclase-associated protein	https://www.orthodb.org/v10?query=160648at4890
268668at4890	Cytidine deaminase-like protein	https://www.orthodb.org/v10?query=268668at4890
94048at4890	Uncharacterised protein family UPF0662	https://www.orthodb.org/v10?query=94048at4890
61292at4890	Tetratricopeptide repeat	https://www.orthodb.org/v10?query=61292at4890
2239at4890	FKBP12-rapamycin binding domain	https://www.orthodb.org/v10?query=2239at4890
224905at4890	Phosphatidate cytidylyltransferase	https://www.orthodb.org/v10?query=224905at4890
14698at4890	Phospholipase	https://www.orthodb.org/v10?query=14698at4890
