Model ID	Model Family Name	Description
PF01345.21	DUF11	Domain of unknown function DUF11
PF01519.19	DUF16	Protein of unknown function DUF16
PF01579.21	DUF19	Domain of unknown function (DUF19)
PF01629.19	DUF22	Domain of unknown function DUF22
PF01724.19	DUF29	Domain of unknown function DUF29
PF01865.19	PhoU_div	Protein of unknown function DUF47
PF01882.21	DUF58	Protein of unknown function DUF58
PF01886.19	DUF61	Protein of unknown function DUF61
PF01889.20	DUF63	Membrane protein of unknown function DUF63
PF01904.21	DUF72	Protein of unknown function DUF72
PF01930.20	Cas_Cas4	Domain of unknown function DUF83
PF01931.21	NTPase_I-T	Protein of unknown function DUF84
PF01935.20	DUF87	Helicase HerA, central domain
PF01940.19	DUF92	Integral membrane protein DUF92
PF01949.19	DUF99	Protein of unknown function DUF99
PF01976.20	DUF116	Protein of unknown function DUF116
PF01982.19	CTP-dep_RFKase	Domain of unknown function DUF120
PF01986.19	DUF123	Domain of unknown function DUF123
PF01998.20	DUF131	Protein of unknown function DUF131
PF02001.19	DUF134	Protein of unknown function  DUF134
PF02582.17	DUF155	RMND1/Sif2-Sif3/Mrx10, DUF155
PF02593.17	DUF166	Domain of unknown function
PF02594.19	DUF167	Uncharacterised ACR, YggU family COG1872
PF02596.18	DUF169	Uncharacterised ArCR, COG2043
PF02622.18	DUF179	Uncharacterized ACR, COG1678
PF02639.17	DUF188	Uncharacterized BCR, YaiI/YqxD family COG1671
PF02641.18	DUF190	Uncharacterized ACR, COG1993
PF02643.18	DUF192	Uncharacterized ACR, COG1430
PF02656.18	DUF202	Domain of unknown function (DUF202)
PF02680.17	DUF211	Uncharacterized ArCR, COG1888
PF02681.17	DUF212	Divergent PAP2 family
PF02698.20	DUF218	DUF218 domain
PF02713.17	DUF220	Domain of unknown function DUF220
PF02720.20	DUF222	Domain of unknown function (DUF222)
PF02721.17	DUF223	Domain of unknown function DUF223
PF02890.17	DUF226	Borrelia family of unknown function DUF226
PF02989.17	DUF228	Lyme disease proteins of unknown function
PF02995.20	DUF229	Protein of unknown function (DUF229)
