#name=fungi_odb10
#domain=eukaryota
#creation_date=2021-06-28
#number_of_BUSCOs=758
#number_of_species=549
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
285977at4751	Mitochondrial import inner membrane translocase subunit tim54	https://www.orthodb.org/v10?query=285977at4751
411130at4751	Snf7 family	https://www.orthodb.org/v10?query=411130at4751
296643at4751	Ribosomal protein S5 domain 2-type fold	https://www.orthodb.org/v10?query=296643at4751
37573at4751	Helicase, C-terminal	https://www.orthodb.org/v10?query=37573at4751
435471at4751	NAD(P)H-hydrate epimerase	https://www.orthodb.org/v10?query=435471at4751
332891at4751	Glycerol	https://www.orthodb.org/v10?query=332891at4751
461919at4751	Peroxisomal biogenesis factor 2	https://www.orthodb.org/v10?query=461919at4751
429332at4751	RNA polymerase III, subunit Rpc25	https://www.orthodb.org/v10?query=429332at4751
90022at4751	nucleotide-diphospho-sugar transferase	https://www.orthodb.org/v10?query=90022at4751
94628at4751	DNA helicase	https://www.orthodb.org/v10?query=94628at4751
248360at4751	3'-5' exonuclease activity	https://www.orthodb.org/v10?query=248360at4751
421097at4751	Acyl-CoA N-acyltransferase	https://www.orthodb.org/v10?query=421097at4751
148293at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	https://www.orthodb.org/v10?query=148293at4751
376539at4751	Ribosome biogenesis protein Kri1	https://www.orthodb.org/v10?query=376539at4751
192452at4751	Dihydropteroate synthase	https://www.orthodb.org/v10?query=192452at4751
261237at4751	anaphase-promoting complex subunit 6	https://www.orthodb.org/v10?query=261237at4751
447112at4751	Ribosomal protein L6	https://www.orthodb.org/v10?query=447112at4751
299509at4751	Uroporphyrinogen decarboxylase	https://www.orthodb.org/v10?query=299509at4751
391384at4751	Exosome complex component RRP4	https://www.orthodb.org/v10?query=391384at4751
290471at4751	Rmd5	https://www.orthodb.org/v10?query=290471at4751
174653at4751	Adenosylhomocysteinase	https://www.orthodb.org/v10?query=174653at4751
61857at4751	Exocyst complex protein EXO70	https://www.orthodb.org/v10?query=61857at4751
289686at4751	Nucleotide exchange factor Fes1	https://www.orthodb.org/v10?query=289686at4751
