#name=mucoromycota_odb10
#domain=eukaryota
#creation_date=2020-08-05
#number_of_BUSCOs=1614
#number_of_species=21
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
23348at1913637	NUDIX hydrolase domain	https://www.orthodb.org/v10?query=23348at1913637
14102at1913637	major facilitator superfamily domain-containing protein	https://www.orthodb.org/v10?query=14102at1913637
22483at1913637	phosphatases II	https://www.orthodb.org/v10?query=22483at1913637
871at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=871at1913637
25972at1913637	Transmembrane adaptor Erv26-domain-containing protein	https://www.orthodb.org/v10?query=25972at1913637
12396at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=12396at1913637
2050at1913637	glycoside hydrolase family 31 protein	https://www.orthodb.org/v10?query=2050at1913637
8275at1913637	Negative elongation factor d-like	https://www.orthodb.org/v10?query=8275at1913637
15091at1913637	Elongator complex protein 5-like	https://www.orthodb.org/v10?query=15091at1913637
4012at1913637	MoeA, C-terminal, domain IV	https://www.orthodb.org/v10?query=4012at1913637
19405at1913637	Ankyrin	https://www.orthodb.org/v10?query=19405at1913637
7037at1913637	Phosphoacetylglucosamine mutase	https://www.orthodb.org/v10?query=7037at1913637
23741at1913637	inosine triphosphate pyrophosphatase-like protein	https://www.orthodb.org/v10?query=23741at1913637
1637at1913637	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=1637at1913637
10858at1913637	CobW-domain-containing protein	https://www.orthodb.org/v10?query=10858at1913637
5308at1913637	Actin-like ATPase domain-containing protein	https://www.orthodb.org/v10?query=5308at1913637
24656at1913637	Mitochondrial import inner membrane translocase, subunit Tim17/22	https://www.orthodb.org/v10?query=24656at1913637
25488at1913637	Adf-like domain-containing protein	https://www.orthodb.org/v10?query=25488at1913637
8652at1913637	aldehyde dehydrogenase	https://www.orthodb.org/v10?query=8652at1913637
5129at1913637	Acetolactate synthase	https://www.orthodb.org/v10?query=5129at1913637
9178at1913637	Plasma-membrane choline transporter-domain-containing protein	https://www.orthodb.org/v10?query=9178at1913637
10762at1913637	phosphatidylinositol-glycan biosynthesis class S protein	https://www.orthodb.org/v10?query=10762at1913637
21184at1913637	transmembrane protein 223-domain-containing protein	https://www.orthodb.org/v10?query=21184at1913637
22426at1913637	Ubiquinone biosynthesis protein COQ4, mitochondrial	https://www.orthodb.org/v10?query=22426at1913637
12309at1913637	M50 domain containing protein	https://www.orthodb.org/v10?query=12309at1913637
6505at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=6505at1913637
18488at1913637	Ubiquitin domain	https://www.orthodb.org/v10?query=18488at1913637
13195at1913637	cop9 signalosome complex subunit 3	https://www.orthodb.org/v10?query=13195at1913637
538at1913637	Winged helix-like DNA-binding domain superfamily	https://www.orthodb.org/v10?query=538at1913637
2468at1913637	P-type ATPase	https://www.orthodb.org/v10?query=2468at1913637
970at1913637	RNA polymerase II-associated protein 1, C-terminal	https://www.orthodb.org/v10?query=970at1913637
13867at1913637	GDP-L-fucose synthase	https://www.orthodb.org/v10?query=13867at1913637
7739at1913637	Gpi transamidase component gaa1	https://www.orthodb.org/v10?query=7739at1913637
21203at1913637	Mevalonate kinase	https://www.orthodb.org/v10?query=21203at1913637
22281at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=22281at1913637
21979at1913637	thymidylate kinase	https://www.orthodb.org/v10?query=21979at1913637
24854at1913637	Sulfhydryl oxidase	https://www.orthodb.org/v10?query=24854at1913637
434at1913637	Urb2/Npa2 family-domain-containing protein	https://www.orthodb.org/v10?query=434at1913637
16843at1913637	NAD(P)-binding protein	https://www.orthodb.org/v10?query=16843at1913637
14852at1913637	Ubiquitin-activating enzyme-like protein	https://www.orthodb.org/v10?query=14852at1913637
21626at1913637	phosphoribosyltransferase-like protein	https://www.orthodb.org/v10?query=21626at1913637
12027at1913637	Peptidyl-prolyl cis-trans isomerase D	https://www.orthodb.org/v10?query=12027at1913637
20704at1913637	methyltransferase	https://www.orthodb.org/v10?query=20704at1913637
