#name=microsporidia_odb10
#domain=eukaryota
#creation_date=2020-08-05
#number_of_BUSCOs=600
#number_of_species=13
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
304at6029	Threonyl-tRNA synthetase	https://www.orthodb.org/v10?query=304at6029
2145at6029	Ribosome biogenesis protein TSR3	https://www.orthodb.org/v10?query=2145at6029
1510at6029	Zinc finger, CCHC-type	https://www.orthodb.org/v10?query=1510at6029
577at6029	Major facilitator superfamily	https://www.orthodb.org/v10?query=577at6029
72at6029	Pre-mRNA-processing-splicing factor 8	https://www.orthodb.org/v10?query=72at6029
2336at6029	transcription initiation factor TFIID subunit 11	https://www.orthodb.org/v10?query=2336at6029
2474at6029	Ubiquitin conjugating enzyme E2	https://www.orthodb.org/v10?query=2474at6029
2710at6029	Large subunit ribosomal protein L27Ae	https://www.orthodb.org/v10?query=2710at6029
1386at6029	GPN-loop GTPase	https://www.orthodb.org/v10?query=1386at6029
1429at6029	Zinc finger, RING/FYVE/PHD-type	https://www.orthodb.org/v10?query=1429at6029
1622at6029	Histone acetyltransferase complex SAGA/ADA subunit ADA2	https://www.orthodb.org/v10?query=1622at6029
890at6029	Serine/threonine-protein phosphatase	https://www.orthodb.org/v10?query=890at6029
538at6029	zinc swim-zinc pmz-type protein	https://www.orthodb.org/v10?query=538at6029
1325at6029	Replication factor C	https://www.orthodb.org/v10?query=1325at6029
2163at6029	Transcription initiation factor TFIID subunit 7	https://www.orthodb.org/v10?query=2163at6029
434at6029	Serine palmitoyltransferase	https://www.orthodb.org/v10?query=434at6029
1344at6029	Replication factor C subunit 3/5	https://www.orthodb.org/v10?query=1344at6029
3224at6029	adrenodoxin-like ferredoxin	https://www.orthodb.org/v10?query=3224at6029
1765at6029	Phosphatidate cytidylyltransferase	https://www.orthodb.org/v10?query=1765at6029
1713at6029	Proteasome endopeptidase complex	https://www.orthodb.org/v10?query=1713at6029
1590at6029	DNA primase small subunit	https://www.orthodb.org/v10?query=1590at6029
2463at6029	Nucleoside diphosphate kinase	https://www.orthodb.org/v10?query=2463at6029
1852at6029	Dolichol-phosphate mannosyltransferase	https://www.orthodb.org/v10?query=1852at6029
1633at6029	Putative RNA-binding protein	https://www.orthodb.org/v10?query=1633at6029
1027at6029	Protein kinase	https://www.orthodb.org/v10?query=1027at6029
1482at6029	Ubiquitin fusion degradation protein 1	https://www.orthodb.org/v10?query=1482at6029
2616at6029	zinc finger (c3hc4-type ring finger) family protein	https://www.orthodb.org/v10?query=2616at6029
362at6029	T-complex protein 1 subunit gamma	https://www.orthodb.org/v10?query=362at6029
921at6029	cyclin-dependent kinase 7	https://www.orthodb.org/v10?query=921at6029
2142at6029	Preprotein translocase subunit Sec62	https://www.orthodb.org/v10?query=2142at6029
1385at6029	origin recognition complex subunit 1	https://www.orthodb.org/v10?query=1385at6029
1366at6029	Transcription initiation factor TFIIE subunit alpha	https://www.orthodb.org/v10?query=1366at6029
1188at6029	WD40/YVTN repeat-like-containing domain superfamily	https://www.orthodb.org/v10?query=1188at6029
354at6029	Methionyl-tRNA synthetase	https://www.orthodb.org/v10?query=354at6029
732at6029	Histone deacetylase	https://www.orthodb.org/v10?query=732at6029
2213at6029	GTP-binding protein	https://www.orthodb.org/v10?query=2213at6029
111at6029	Ribonucleoside-diphosphate reductase	https://www.orthodb.org/v10?query=111at6029
1533at6029	Actin-like protein	https://www.orthodb.org/v10?query=1533at6029
1626at6029	Triosephosphate isomerase	https://www.orthodb.org/v10?query=1626at6029
3109at6029	Ribosomal protein L37	https://www.orthodb.org/v10?query=3109at6029
2900at6029	ribosomal protein S17	https://www.orthodb.org/v10?query=2900at6029
1383at6029	ribosomal protein S5	https://www.orthodb.org/v10?query=1383at6029
3022at6029	peptidyl-tRNA hydrolase PTH2	https://www.orthodb.org/v10?query=3022at6029
815at6029	histone-binding protein RBBP4	https://www.orthodb.org/v10?query=815at6029
271at6029	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	https://www.orthodb.org/v10?query=271at6029
1168at6029	serine/threonine protein kinase	https://www.orthodb.org/v10?query=1168at6029
776at6029	Rab GDP dissociation inhibitor	https://www.orthodb.org/v10?query=776at6029
2562at6029	transcription initiation factor TFIIA-like protein	https://www.orthodb.org/v10?query=2562at6029
810at6029	ATP-dependent RNA helicase	https://www.orthodb.org/v10?query=810at6029
985at6029	Zinc finger, CHY-type	https://www.orthodb.org/v10?query=985at6029
510at6029	ATP-dependent RNA helicase	https://www.orthodb.org/v10?query=510at6029
2522at6029	small subunit ribosomal protein S19e	https://www.orthodb.org/v10?query=2522at6029
1061at6029	Putative membrane protein	https://www.orthodb.org/v10?query=1061at6029
1557at6029	Protein tyrosine phosphatase	https://www.orthodb.org/v10?query=1557at6029
978at6029	Dead box helicase	https://www.orthodb.org/v10?query=978at6029
611at6029	UTP--glucose-1-phosphate uridylyltransferase	https://www.orthodb.org/v10?query=611at6029
192at6029	ATP-dependent helicase activity	https://www.orthodb.org/v10?query=192at6029
11at6029	Phosphatidylinositol 3-/4-kinase, catalytic domain	https://www.orthodb.org/v10?query=11at6029
1421at6029	geranylgeranyl transferase type-2 subunit beta	https://www.orthodb.org/v10?query=1421at6029
2386at6029	small subunit ribosomal protein S23e	https://www.orthodb.org/v10?query=2386at6029
34at6029	DNA topoisomerase 2	https://www.orthodb.org/v10?query=34at6029
583at6029	trehalose-6-phosphate synthase	https://www.orthodb.org/v10?query=583at6029
157at6029	histone deacetylase complex protein Sin3	https://www.orthodb.org/v10?query=157at6029
2417at6029	Large subunit ribosomal protein L32e	https://www.orthodb.org/v10?query=2417at6029
1154at6029	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=1154at6029
602at6029	26S proteasome regulatory subunit 4	https://www.orthodb.org/v10?query=602at6029
1795at6029	DNA-directed RNA polymerase III subunit C34	https://www.orthodb.org/v10?query=1795at6029
1732at6029	Small GTPase superfamily	https://www.orthodb.org/v10?query=1732at6029
2077at6029	Adrenodoxin-NADP+ reductase	https://www.orthodb.org/v10?query=2077at6029
286at6029	DNA helicase	https://www.orthodb.org/v10?query=286at6029
1875at6029	DNA-directed RNA polymerase I	https://www.orthodb.org/v10?query=1875at6029
1326at6029	replication factor C subunit 2/4	https://www.orthodb.org/v10?query=1326at6029
939at6029	Tryptophanyl-tRNA synthetase	https://www.orthodb.org/v10?query=939at6029
2407at6029	gtp-binding adp ribosylation factor	https://www.orthodb.org/v10?query=2407at6029
45at6029	Pre-mRNA cleavage and polyadenylation specificity factor	https://www.orthodb.org/v10?query=45at6029
592at6029	ATP-dependent RNA helicase DBP4	https://www.orthodb.org/v10?query=592at6029
891at6029	Septin-like protein	https://www.orthodb.org/v10?query=891at6029
859at6029	histone acetyltransferase	https://www.orthodb.org/v10?query=859at6029
1211at6029	Glycosyltransferase	https://www.orthodb.org/v10?query=1211at6029
2729at6029	large subunit ribosomal protein L34e	https://www.orthodb.org/v10?query=2729at6029
2260at6029	mRNA capping enzyme subunit alpha	https://www.orthodb.org/v10?query=2260at6029
1729at6029	Transcription initiation factor TFIIH subunit 3	https://www.orthodb.org/v10?query=1729at6029
3272at6029	Transcription initiation factor IIA subunit gamma	https://www.orthodb.org/v10?query=3272at6029
2625at6029	Chitooligosaccharide deacetylase-like protein	https://www.orthodb.org/v10?query=2625at6029
397at6029	phenylalanyl-tRNA synthetase subunit beta	https://www.orthodb.org/v10?query=397at6029
738at6029	Transcription initiation factor TFIIIB subunit Brf1	https://www.orthodb.org/v10?query=738at6029
212at6029	N-acetyltransferase 10	https://www.orthodb.org/v10?query=212at6029
713at6029	mRNA export factor	https://www.orthodb.org/v10?query=713at6029
472at6029	T-complex protein 1 subunit epsilon	https://www.orthodb.org/v10?query=472at6029
974at6029	Large subunit ribosomal protein L4e	https://www.orthodb.org/v10?query=974at6029
2701at6029	Iron sulfur cluster assembly protein 1	https://www.orthodb.org/v10?query=2701at6029
2504at6029	GTP-binding protein	https://www.orthodb.org/v10?query=2504at6029
1568at6029	putative iron hydrogenase	https://www.orthodb.org/v10?query=1568at6029
400at6029	T-complex protein 1 subunit eta	https://www.orthodb.org/v10?query=400at6029
704at6029	Polyribonucleotide 5'-hydroxyl-kinase	https://www.orthodb.org/v10?query=704at6029
1712at6029	ribosomal protein L10.e	https://www.orthodb.org/v10?query=1712at6029
529at6029	signal recognition particle subunit SRP54	https://www.orthodb.org/v10?query=529at6029
217at6029	Structural maintenance of chromosome 3 (Chondroitin sulfate proteoglycan 6)	https://www.orthodb.org/v10?query=217at6029
420at6029	Nucleolar GTP-binding protein 1	https://www.orthodb.org/v10?query=420at6029
216at6029	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	https://www.orthodb.org/v10?query=216at6029
2080at6029	calponin H2-like calcium-binding protein	https://www.orthodb.org/v10?query=2080at6029
645at6029	Aspartyl-tRNA synthetase	https://www.orthodb.org/v10?query=645at6029
2334at6029	putative membrane protein	https://www.orthodb.org/v10?query=2334at6029
2570at6029	Thioredoxin-like protein	https://www.orthodb.org/v10?query=2570at6029
2654at6029	HAD superfamily	https://www.orthodb.org/v10?query=2654at6029
88at6029	Ubiquitin carboxyl-terminal hydrolase	https://www.orthodb.org/v10?query=88at6029
1752at6029	Small GTP-binding protein domain	https://www.orthodb.org/v10?query=1752at6029
3040at6029	recombination protein rad52	https://www.orthodb.org/v10?query=3040at6029
787at6029	Enolase	https://www.orthodb.org/v10?query=787at6029
533at6029	kinesin family member 2/24	https://www.orthodb.org/v10?query=533at6029
