#name=basidiomycota_odb10
#domain=eukaryota
#creation_date=2020-09-10
#number_of_BUSCOs=1764
#number_of_species=133
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
93674at5204	nascent polypeptide-associated complex, alpha subunit	https://www.orthodb.org/v10?query=93674at5204
57152at5204	NADP-dependent oxidoreductase domain	https://www.orthodb.org/v10?query=57152at5204
2050at5204	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain	https://www.orthodb.org/v10?query=2050at5204
34745at5204	Transcription initiation factor TFIID subunit 6	https://www.orthodb.org/v10?query=34745at5204
87047at5204	aspartate aminotransferase	https://www.orthodb.org/v10?query=87047at5204
45180at5204	WD40 repeat	https://www.orthodb.org/v10?query=45180at5204
80859at5204	Mog1p/PsbP-like protein	https://www.orthodb.org/v10?query=80859at5204
10721at5204	tRNA ligase	https://www.orthodb.org/v10?query=10721at5204
33204at5204	tRNA N6-adenosine threonylcarbamoyltransferase	https://www.orthodb.org/v10?query=33204at5204
2471at5204	DNA-directed RNA polymerase	https://www.orthodb.org/v10?query=2471at5204
4157at5204	ISWI, HAND domain	https://www.orthodb.org/v10?query=4157at5204
58593at5204	Protein FRG1	https://www.orthodb.org/v10?query=58593at5204
50666at5204	nucleic acid-binding protein	https://www.orthodb.org/v10?query=50666at5204
53866at5204	electron transfer flavoprotein alpha subunit	https://www.orthodb.org/v10?query=53866at5204
26845at5204	peptide chain release factor eRF/aRF subunit 1	https://www.orthodb.org/v10?query=26845at5204
75341at5204	Zinc finger, AN1-type	https://www.orthodb.org/v10?query=75341at5204
17749at5204	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=17749at5204
74120at5204	transcription factor Tfb4	https://www.orthodb.org/v10?query=74120at5204
48895at5204	mitochondrial carrier	https://www.orthodb.org/v10?query=48895at5204
32284at5204	Beta-catenin-like protein 1	https://www.orthodb.org/v10?query=32284at5204
62255at5204	Nuclear transport factor 2	https://www.orthodb.org/v10?query=62255at5204
37986at5204	actin-related protein	https://www.orthodb.org/v10?query=37986at5204
3941at5204	ubiquitin activating enzyme	https://www.orthodb.org/v10?query=3941at5204
61189at5204	NADH-cytochrome b5 reductase	https://www.orthodb.org/v10?query=61189at5204
793at5204	Phospholipase	https://www.orthodb.org/v10?query=793at5204
